'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtLeast1(A_Accepted)';'AtLeast1';'';'[A_Accepted]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Accepted)';'AtMost1';'';'[A_Accepted]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Cancelled)';'NotChainSuccession';'[A_Accepted]';'[A_Cancelled]';1.000;0.097;0.097;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_Accepted, A_Complete)';'AlternateSuccession';'[A_Accepted]';'[A_Complete]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Complete)';'NotChainSuccession';'[A_Accepted]';'[A_Complete]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Accepted, A_Concept)';'CoExistence';'[A_Accepted]';'[A_Concept]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Accepted, A_Concept)';'NotSuccession';'[A_Accepted]';'[A_Concept]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Accepted, A_Create Application)';'CoExistence';'[A_Accepted]';'[A_Create Application]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Accepted, A_Create Application)';'NotSuccession';'[A_Accepted]';'[A_Create Application]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Denied)';'NotChainSuccession';'[A_Accepted]';'[A_Denied]';1.000;0.081;0.081;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Incomplete)';'NotChainSuccession';'[A_Accepted]';'[A_Incomplete]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Pending)';'NotChainSuccession';'[A_Accepted]';'[A_Pending]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Accepted, A_Submitted)';'NotSuccession';'[A_Accepted]';'[A_Submitted]';1.000;0.120;0.120;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, A_Validating)';'NotChainSuccession';'[A_Accepted]';'[A_Validating]';1.000;0.162;0.162;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Accepted)';'NotChainSuccession';'[A_Accepted]';'[O_Accepted]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Cancelled)';'NotChainSuccession';'[A_Accepted]';'[O_Cancelled]';1.000;0.121;0.121;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'ChainResponse(A_Accepted, O_Create Offer)';'ChainResponse';'[A_Accepted]';'[O_Create Offer]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Accepted, O_Create Offer)';'Succession';'[A_Accepted]';'[O_Create Offer]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(A_Accepted, O_Created)';'AlternateResponse';'[A_Accepted]';'[O_Created]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Accepted, O_Created)';'Succession';'[A_Accepted]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Created)';'NotChainSuccession';'[A_Accepted]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Refused)';'NotChainSuccession';'[A_Accepted]';'[O_Refused]';1.000;0.084;0.084;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Returned)';'NotChainSuccession';'[A_Accepted]';'[O_Returned]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Accepted, O_Sent (mail and online))';'Succession';'[A_Accepted]';'[O_Sent (mail and online)]';0.994;0.164;0.163;0.985;1.000;0.985;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Sent (mail and online))';'NotChainSuccession';'[A_Accepted]';'[O_Sent (mail and online)]';1.000;0.164;0.164;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Accepted, O_Sent (online only))';'NotChainSuccession';'[A_Accepted]';'[O_Sent (online only)]';1.000;0.077;0.077;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Cancelled)';'AtMost1';'';'[A_Cancelled]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Accepted, A_Cancelled)';'AlternatePrecedence';'[A_Cancelled]';'[A_Accepted]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Accepted)';'NotSuccession';'[A_Cancelled]';'[A_Accepted]';1.000;0.097;0.097;0.331;1.000;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Complete)';'NotSuccession';'[A_Cancelled]';'[A_Complete]';1.000;0.096;0.096;0.331;0.999;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Concept)';'NotSuccession';'[A_Cancelled]';'[A_Concept]';1.000;0.097;0.097;0.331;1.000;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Create Application)';'NotSuccession';'[A_Cancelled]';'[A_Create Application]';1.000;0.097;0.097;0.331;1.000;0.331;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Cancelled, A_Denied)';'NotCoExistence';'[A_Cancelled]';'[A_Denied]';1.000;0.033;0.033;0.735;0.450;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Incomplete)';'NotSuccession';'[A_Cancelled]';'[A_Incomplete]';1.000;0.077;0.077;0.426;0.777;0.331;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Cancelled, A_Pending)';'NotCoExistence';'[A_Cancelled]';'[A_Pending]';1.000;0.064;0.064;0.377;0.878;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Submitted)';'NotSuccession';'[A_Cancelled]';'[A_Submitted]';1.000;0.071;0.071;0.448;0.739;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, A_Validating)';'NotSuccession';'[A_Cancelled]';'[A_Validating]';1.000;0.114;0.114;0.333;0.993;0.331;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Cancelled, O_Accepted)';'NotCoExistence';'[A_Cancelled]';'[O_Accepted]';1.000;0.064;0.064;0.377;0.878;0.331;FALSE;FALSE;FALSE;FALSE
'RespondedExistence(A_Cancelled, O_Cancelled)';'RespondedExistence';'[A_Cancelled]';'[O_Cancelled]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, O_Create Offer)';'NotSuccession';'[A_Cancelled]';'[O_Create Offer]';1.000;0.123;0.123;0.331;1.000;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, O_Created)';'NotSuccession';'[A_Cancelled]';'[O_Created]';1.000;0.123;0.123;0.331;1.000;0.331;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Cancelled, O_Refused)';'NotCoExistence';'[A_Cancelled]';'[O_Refused]';1.000;0.035;0.035;0.737;0.449;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, O_Returned)';'NotSuccession';'[A_Cancelled]';'[O_Returned]';1.000;0.078;0.078;0.334;0.991;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, O_Sent (mail and online))';'NotSuccession';'[A_Cancelled]';'[O_Sent (mail and online)]';1.000;0.116;0.116;0.334;0.992;0.331;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Cancelled, O_Sent (online only))';'NotSuccession';'[A_Cancelled]';'[O_Sent (online only)]';1.000;0.029;0.029;0.875;0.378;0.331;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Concept, A_Cancelled)';'AlternatePrecedence';'[A_Cancelled]';'[A_Concept]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Create Application, A_Cancelled)';'AlternatePrecedence';'[A_Cancelled]';'[A_Create Application]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(O_Create Offer, A_Cancelled)';'AlternatePrecedence';'[A_Cancelled]';'[O_Create Offer]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(O_Created, A_Cancelled)';'AlternatePrecedence';'[A_Cancelled]';'[O_Created]';1.000;0.024;0.024;1.000;0.331;0.331;FALSE;FALSE;FALSE;FALSE
