'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost2(BILLED)';'AtMost2';'';'[BILLED]';0.997;0.222;0.221;0.997;1.000;0.997;FALSE;FALSE;FALSE;FALSE
'NotSuccession(BILLED, CHANGE DIAGN)';'NotSuccession';'[BILLED]';'[CHANGE DIAGN]';1.000;0.250;0.250;0.964;0.673;0.649;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, CHANGE END)';'NotCoExistence';'[BILLED]';'[CHANGE END]';0.999;0.150;0.149;0.999;0.649;0.648;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, CODE ERROR)';'NotCoExistence';'[BILLED]';'[CODE ERROR]';0.998;0.150;0.149;0.999;0.649;0.648;FALSE;FALSE;FALSE;FALSE
'NotSuccession(BILLED, CODE NOK)';'NotSuccession';'[BILLED]';'[CODE NOK]';0.998;0.157;0.157;0.983;0.660;0.648;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, DELETE)';'NotCoExistence';'[BILLED]';'[DELETE]';0.991;0.168;0.166;0.887;0.727;0.645;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, EMPTY)';'NotCoExistence';'[BILLED]';'[EMPTY]';1.000;0.150;0.150;0.993;0.653;0.649;FALSE;FALSE;FALSE;FALSE
'NotSuccession(BILLED, FIN)';'NotSuccession';'[BILLED]';'[FIN]';0.991;0.315;0.312;0.913;0.710;0.649;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, JOIN-PAT)';'NotCoExistence';'[BILLED]';'[JOIN-PAT]';0.995;0.150;0.149;0.999;0.649;0.648;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, MANUAL)';'NotCoExistence';'[BILLED]';'[MANUAL]';0.991;0.150;0.149;0.996;0.649;0.646;FALSE;FALSE;FALSE;FALSE
'NotSuccession(BILLED, NEW)';'NotSuccession';'[BILLED]';'[NEW]';1.000;0.374;0.374;0.649;1.000;0.649;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(BILLED, REJECT)';'NotChainSuccession';'[BILLED]';'[REJECT]';1.000;0.154;0.154;1.000;0.649;0.649;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(BILLED, RELEASE)';'NotChainSuccession';'[BILLED]';'[RELEASE]';1.000;0.307;0.307;0.966;0.671;0.649;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(BILLED, REOPEN)';'NotChainSuccession';'[BILLED]';'[REOPEN]';1.000;0.160;0.160;0.987;0.657;0.649;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, SET STATUS)';'NotCoExistence';'[BILLED]';'[SET STATUS]';0.996;0.151;0.150;0.990;0.654;0.647;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(BILLED, ZDBC_BEHAN)';'NotCoExistence';'[BILLED]';'[ZDBC_BEHAN]';1.000;0.149;0.149;1.000;0.649;0.649;FALSE;FALSE;FALSE;FALSE
'Precedence(FIN, BILLED)';'Precedence';'[BILLED]';'[FIN]';1.000;0.149;0.149;1.000;0.649;0.648;FALSE;FALSE;FALSE;FALSE
'Precedence(NEW, BILLED)';'Precedence';'[BILLED]';'[NEW]';1.000;0.149;0.149;1.000;0.649;0.649;FALSE;FALSE;FALSE;FALSE
'Precedence(RELEASE, BILLED)';'Precedence';'[BILLED]';'[RELEASE]';1.000;0.149;0.149;1.000;0.649;0.648;FALSE;FALSE;FALSE;FALSE
'AtMost2(CHANGE DIAGN)';'AtMost2';'';'[CHANGE DIAGN]';0.998;0.222;0.221;0.998;1.000;0.998;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(CHANGE DIAGN, BILLED)';'NotChainSuccession';'[CHANGE DIAGN]';'[BILLED]';1.000;0.250;0.250;0.629;0.673;0.423;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(CHANGE DIAGN, CHANGE END)';'NotCoExistence';'[CHANGE DIAGN]';'[CHANGE END]';0.999;0.101;0.101;0.999;0.423;0.423;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(CHANGE DIAGN, CODE ERROR)';'NotCoExistence';'[CHANGE DIAGN]';'[CODE ERROR]';0.997;0.101;0.101;0.998;0.423;0.423;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(CHANGE DIAGN, CODE NOK)';'NotChainSuccession';'[CHANGE DIAGN]';'[CODE NOK]';1.000;0.109;0.109;0.947;0.447;0.423;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(CHANGE DIAGN, CODE OK)';'NotChainSuccession';'[CHANGE DIAGN]';'[CODE OK]';1.000;0.251;0.251;0.642;0.659;0.423;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(CHANGE DIAGN, EMPTY)';'NotCoExistence';'[CHANGE DIAGN]';'[EMPTY]';0.999;0.102;0.102;0.989;0.427;0.423;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(CHANGE DIAGN, JOIN-PAT)';'NotCoExistence';'[CHANGE DIAGN]';'[JOIN-PAT]';0.995;0.101;0.101;0.998;0.424;0.423;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(CHANGE DIAGN, MANUAL)';'NotCoExistence';'[CHANGE DIAGN]';'[MANUAL]';0.994;0.102;0.101;0.994;0.425;0.422;FALSE;FALSE;FALSE;FALSE
'NotSuccession(CHANGE DIAGN, NEW)';'NotSuccession';'[CHANGE DIAGN]';'[NEW]';1.000;0.325;0.325;0.423;1.000;0.423;FALSE;FALSE;FALSE;FALSE
