'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost1(Admission IC)';'AtMost1';'';'[Admission IC]';0.993;0.069;0.069;0.993;1.000;0.993;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Admission NC)';'NotChainSuccession';'[Admission IC]';'[Admission NC]';0.994;0.085;0.085;0.135;0.771;0.104;FALSE;FALSE;FALSE;FALSE
'RespondedExistence(Admission IC, CRP)';'RespondedExistence';'[Admission IC]';'[CRP]';1.000;0.008;0.008;1.000;0.105;0.105;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission IC, ER Registration)';'NotSuccession';'[Admission IC]';'[ER Registration]';1.000;0.077;0.077;0.105;1.000;0.105;FALSE;FALSE;FALSE;FALSE
'RespondedExistence(Admission IC, ER Sepsis Triage)';'RespondedExistence';'[Admission IC]';'[ER Sepsis Triage]';0.991;0.008;0.008;0.991;0.105;0.104;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission IC, ER Sepsis Triage)';'NotSuccession';'[Admission IC]';'[ER Sepsis Triage]';0.998;0.077;0.077;0.104;1.000;0.104;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission IC, ER Triage)';'NotSuccession';'[Admission IC]';'[ER Triage]';1.000;0.077;0.077;0.105;1.000;0.105;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission IC, IV Antibiotics)';'NotSuccession';'[Admission IC]';'[IV Antibiotics]';0.996;0.062;0.062;0.130;0.793;0.103;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission IC, IV Liquid)';'NotSuccession';'[Admission IC]';'[IV Liquid]';0.995;0.057;0.057;0.140;0.734;0.103;FALSE;FALSE;FALSE;FALSE
'RespondedExistence(Admission IC, Leucocytes)';'RespondedExistence';'[Admission IC]';'[Leucocytes]';1.000;0.008;0.008;1.000;0.105;0.105;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Release A)';'NotChainSuccession';'[Admission IC]';'[Release A]';1.000;0.052;0.052;0.158;0.662;0.105;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Release B)';'NotChainSuccession';'[Admission IC]';'[Release B]';1.000;0.011;0.011;0.719;0.146;0.105;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Admission IC, Release C)';'NotRespondedExistence';'[Admission IC]';'[Release C]';0.991;0.008;0.008;0.991;0.105;0.104;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Release C)';'NotChainSuccession';'[Admission IC]';'[Release C]';1.000;0.009;0.009;0.821;0.128;0.105;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Release D)';'NotChainSuccession';'[Admission IC]';'[Release D]';1.000;0.009;0.009;0.853;0.123;0.105;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Release E)';'NotChainSuccession';'[Admission IC]';'[Release E]';1.000;0.008;0.008;0.965;0.109;0.105;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission IC, Return ER)';'NotChainSuccession';'[Admission IC]';'[Return ER]';1.000;0.027;0.027;0.308;0.340;0.105;FALSE;FALSE;FALSE;FALSE
'Precedence(ER Registration, Admission IC)';'Precedence';'[Admission IC]';'[ER Registration]';1.000;0.008;0.008;1.000;0.105;0.105;FALSE;FALSE;FALSE;FALSE
'Precedence(ER Triage, Admission IC)';'Precedence';'[Admission IC]';'[ER Triage]';1.000;0.008;0.008;1.000;0.105;0.105;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission NC, ER Registration)';'NotSuccession';'[Admission NC]';'[ER Registration]';1.000;0.147;0.147;0.762;1.000;0.762;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission NC, ER Sepsis Triage)';'NotSuccession';'[Admission NC]';'[ER Sepsis Triage]';0.996;0.147;0.146;0.760;1.000;0.760;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Admission NC, ER Triage)';'NotSuccession';'[Admission NC]';'[ER Triage]';0.999;0.147;0.147;0.762;1.000;0.762;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission NC, IV Antibiotics)';'NotChainSuccession';'[Admission NC]';'[IV Antibiotics]';0.998;0.132;0.132;0.864;0.881;0.761;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission NC, Release C)';'NotChainSuccession';'[Admission NC]';'[Release C]';0.993;0.079;0.079;0.999;0.762;0.761;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission NC, Release D)';'NotChainSuccession';'[Admission NC]';'[Release D]';0.998;0.079;0.079;1.000;0.762;0.762;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission NC, Release E)';'NotChainSuccession';'[Admission NC]';'[Release E]';1.000;0.078;0.078;1.000;0.762;0.762;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Admission NC, Return ER)';'NotChainSuccession';'[Admission NC]';'[Return ER]';1.000;0.097;0.097;1.000;0.762;0.762;FALSE;FALSE;FALSE;FALSE
'Precedence(CRP, Admission NC)';'Precedence';'[Admission NC]';'[CRP]';0.992;0.078;0.077;0.989;0.762;0.753;FALSE;FALSE;FALSE;FALSE
'Precedence(ER Registration, Admission NC)';'Precedence';'[Admission NC]';'[ER Registration]';1.000;0.078;0.078;1.000;0.762;0.762;FALSE;FALSE;FALSE;FALSE
'Precedence(ER Sepsis Triage, Admission NC)';'Precedence';'[Admission NC]';'[ER Sepsis Triage]';0.995;0.078;0.077;0.993;0.762;0.756;FALSE;FALSE;FALSE;FALSE
'Precedence(ER Triage, Admission NC)';'Precedence';'[Admission NC]';'[ER Triage]';1.000;0.078;0.078;1.000;0.762;0.762;FALSE;FALSE;FALSE;FALSE
'Precedence(Leucocytes, Admission NC)';'Precedence';'[Admission NC]';'[Leucocytes]';0.996;0.078;0.077;0.995;0.762;0.758;FALSE;FALSE;FALSE;FALSE
'NotChainPrecedence(Admission IC, CRP)';'NotChainPrecedence';'[CRP]';'[Admission IC]';0.990;0.214;0.212;0.969;0.959;0.930;FALSE;FALSE;FALSE;FALSE
'NotChainResponse(CRP, Admission IC)';'NotChainResponse';'[CRP]';'[Admission IC]';0.995;0.214;0.213;0.983;0.959;0.943;FALSE;FALSE;FALSE;FALSE
