;1000;0000;1110;0001;0100;1100
AtLeast1;{('exc', '(d)*b(d)*')};{('exc', '(d)*c(d)*'), ('loop', '(d)*c(d)*')};{('exc_tau', '')};{('xor_single', '')};;
AtLeast2;{('loop', '(c)*a(c)*'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('exc', '(c)*a(c)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('seq', '(d)*c(d)*(b)*a(b)*'), ('par', '(b|d)*c(b|d)*a(b|d)*'), ('exc', '(d)*c(d)*'), ('loop', '(d)*c(d)*')};{('exc_tau', '(b|c|d)*a(b|c|d)*')};{('single_single', 'a'), ('xor_single', 'a'), ('loop_single', 'a')};;
AtLeast3;{('loop', '(c)*a(c)*'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('exc', '(c)*a(c)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('seq', '(d)*c(d)*(b)*a(b)*'), ('par', '(b|d)*c(b|d)*a(b|d)*'), ('exc', '(d)*c(d)*'), ('loop', '(d)*c(d)*')};{('exc_tau', '(b|c|d)*a(b|c|d)*'), ('loop_tau', '((b|c|d)*a(b|c|d)*)((b|c|d)*a(b|c|d)*){1,1}')};{('single_single', 'a'), ('xor_single', 'a'), ('loop_single', 'a')};;
AtMost1;{('loop', '((c)*a(c)*)((b|d)*((c)*a(c)*)){1,1}')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((b)*a(b)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((b|c|d)*a(b|c|d)*){1,1}')};{('loop_single', 'aa')};;
AtMost2;{('loop', '((c)*a(c)*)((b|d)*((c)*a(c)*)){2,2}')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((b)*a(b)*)(c|d)*){2,2}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((b|c|d)*a(b|c|d)*){2,2}')};{('loop_single', 'aaa')};;
AtMost3;{('loop', '((c)*a(c)*)((b|d)*((c)*a(c)*)){3,3}')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((b)*a(b)*)(c|d)*){3,3}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((b|c|d)*a(b|c|d)*){3,3}')};set();;
Absence;{('loop', '(c)*a(c)*'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('exc', '(c)*a(c)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('seq', '(d)*c(d)*(b)*a(b)*'), ('par', '(b|d)*c(b|d)*a(b|d)*'), ('loop', '((d)*c(d)*)(((b)*a(b)*)(c|d)*)+'), ('exc', '(b)*a(b)*')};{('exc_tau', '(b|c|d)*a(b|c|d)*'), ('loop_tau', '(a|b|c|d)*a(a|b|c|d)')};{('single_single', 'a'), ('xor_single', 'a'), ('loop_single', 'a')};;
Init;{('par', '(c|d)*b(c|d)*a(c|d)*'), ('exc', '(d)*b(d)*')};{('seq', '(d)*c(d)*(b)*a(b)*'), ('par', '(b|d)*c(b|d)*a(b|d)*'), ('exc', '(d)*c(d)*'), ('loop', '(d)*c(d)*')};{('exc_tau', '')};{('xor_single', '')};;
End;{('exc', '(d)*b(d)*'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(d)*c(d)*'), ('exc', '(d)*c(d)*'), ('par', '(b|d)*a(b|d)*c(b|d)*')};{('exc_tau', '')};{('xor_single', '')};;
CoExistence;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*')};set()
RespondedExistence;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*')};set();set();;{('exc', '(d)*a(d)*')};set()
Response;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('seq', '(c)*b(c)*(d)*a(d)*'), ('exc', '(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
AlternateResponse;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('seq', '(c)*b(c)*(d)*a(d)*'), ('exc', '(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
ChainResponse;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('seq', '(c)*b(c)*(d)*a(d)*'), ('exc', '(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
Precedence;{('par', '(c|d)*b(c|d)*a(c|d)*'), ('exc', '(d)*b(d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
AlternatePrecedence;{('par', '(c|d)*b(c|d)*a(c|d)*'), ('exc', '(d)*b(d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
ChainPrecedence;{('par', '(c|d)*b(c|d)*a(c|d)*'), ('exc', '(d)*b(d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
Succession;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
AlternateSuccession;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
ChainSuccession;{('loop', '(c)*a(c)*'), ('exc', '(c)*a(c)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set();set();;{('loop', '(c)*b(c)*'), ('exc', '(c)*b(c)*'), ('seq', '(c)*b(c)*(d)*a(d)*'), ('par', '(c|d)*b(c|d)*a(c|d)*')};set()
NotRespondedExistence;{('loop', '((c)*a(c)*)(((d)*b(d)*)(a|c)*)+'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((a)*b(a)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((a|c|d)*b(a|c|d)*){1,1}')};;{('seq', '(c)*b(c)*(d)*a(d)*'), ('loop', '((c)*b(c)*)(((d)*a(d)*)(b|c)*)+'), ('par', '(c|d)*b(c|d)*a(c|d)*')};{('loop', '((b)*a(b)*)((c|d)*((a)*b(a)*)){1,1}')}
NotCoExistence;{('loop', '((c)*a(c)*)(((d)*b(d)*)(a|c)*)+'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((a)*b(a)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((a|c|d)*b(a|c|d)*){1,1}')};;{('seq', '(c)*b(c)*(d)*a(d)*'), ('loop', '((c)*b(c)*)(((d)*a(d)*)(b|c)*)+'), ('par', '(c|d)*b(c|d)*a(c|d)*')};{('loop', '((b)*a(b)*)((c|d)*((a)*b(a)*)){1,1}')}
NotResponse;{('loop', '((c)*a(c)*)(((d)*b(d)*)(a|c)*)+'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((a)*b(a)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((a|c|d)*b(a|c|d)*){1,1}')};;{('loop', '(b|c)*(((d)*a(d)*)((c)*b(c)*))+'), ('par', '(c|d)*a(c|d)*b(c|d)*')};{('loop', '((b)*a(b)*)((c|d)*((a)*b(a)*)){1,1}')}
NotChainResponse;set();set();set();;set();set()
NotPrecedence;{('loop', '((c)*a(c)*)(((d)*b(d)*)(a|c)*)+'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((a)*b(a)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((a|c|d)*b(a|c|d)*){1,1}')};;{('loop', '(b|c)*(((d)*a(d)*)((c)*b(c)*))+'), ('par', '(c|d)*a(c|d)*b(c|d)*')};{('loop', '((b)*a(b)*)((c|d)*((a)*b(a)*)){1,1}')}
NotChainPrecedence;set();set();set();;set();set()
NotSuccession;{('loop', '((c)*a(c)*)(((d)*b(d)*)(a|c)*)+'), ('par', '(c|d)*a(c|d)*b(c|d)*'), ('seq', '(c)*a(c)*(d)*b(d)*')};{('loop', '(c|d)*((b)*a(b)*)(c|d)*(((a)*b(a)*)(c|d)*){1,1}')};{('loop_tau', '((b|c|d)*a(b|c|d)*)((a|c|d)*b(a|c|d)*){1,1}')};;{('loop', '(b|c)*(((d)*a(d)*)((c)*b(c)*))+'), ('par', '(c|d)*a(c|d)*b(c|d)*')};{('loop', '((b)*a(b)*)((c|d)*((a)*b(a)*)){1,1}')}
NotChainSuccession;set();set();set();;set();set()
