'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost1(A_ACCEPTED)';'AtMost1';'';'[A_ACCEPTED]';1.000;0.142;0.142;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, A_ACTIVATED)';'NotChainSuccession';'[A_ACCEPTED]';'[A_ACTIVATED]';1.000;0.080;0.080;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, A_APPROVED)';'NotChainSuccession';'[A_ACCEPTED]';'[A_APPROVED]';1.000;0.080;0.080;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, A_DECLINED)';'NotChainSuccession';'[A_ACCEPTED]';'[A_DECLINED]';0.995;0.138;0.138;0.427;0.911;0.388;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_ACCEPTED, A_FINALIZED)';'AlternateSuccession';'[A_ACCEPTED]';'[A_FINALIZED]';0.990;0.110;0.109;0.981;0.391;0.383;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_ACCEPTED, A_PARTLYSUBMITTED)';'NotSuccession';'[A_ACCEPTED]';'[A_PARTLYSUBMITTED]';1.000;0.198;0.198;0.391;1.000;0.391;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_ACCEPTED, A_PREACCEPTED)';'NotSuccession';'[A_ACCEPTED]';'[A_PREACCEPTED]';1.000;0.136;0.136;0.694;0.563;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, A_REGISTERED)';'NotChainSuccession';'[A_ACCEPTED]';'[A_REGISTERED]';1.000;0.080;0.080;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_ACCEPTED, A_SUBMITTED)';'NotSuccession';'[A_ACCEPTED]';'[A_SUBMITTED]';1.000;0.198;0.198;0.391;1.000;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, O_ACCEPTED)';'NotChainSuccession';'[A_ACCEPTED]';'[O_ACCEPTED]';1.000;0.080;0.080;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, O_CANCELLED)';'NotChainSuccession';'[A_ACCEPTED]';'[O_CANCELLED]';1.000;0.095;0.095;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'Succession(A_ACCEPTED, O_CREATED)';'Succession';'[A_ACCEPTED]';'[O_CREATED]';0.992;0.132;0.131;0.981;0.391;0.383;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, O_CREATED)';'NotChainSuccession';'[A_ACCEPTED]';'[O_CREATED]';1.000;0.132;0.132;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, O_DECLINED)';'NotChainSuccession';'[A_ACCEPTED]';'[O_DECLINED]';1.000;0.064;0.064;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
'Succession(A_ACCEPTED, O_SELECTED)';'Succession';'[A_ACCEPTED]';'[O_SELECTED]';0.992;0.132;0.131;0.981;0.391;0.383;FALSE;FALSE;FALSE;FALSE
'Succession(A_ACCEPTED, O_SENT)';'Succession';'[A_ACCEPTED]';'[O_SENT]';0.992;0.132;0.131;0.981;0.391;0.383;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_ACCEPTED, O_SENT)';'NotChainSuccession';'[A_ACCEPTED]';'[O_SENT]';1.000;0.132;0.132;1.000;0.391;0.391;FALSE;FALSE;FALSE;FALSE
