'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost1(Add penalty)';'AtMost1';'';'[Add penalty]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Add penalty, Appeal to Judge)';'NotRespondedExistence';'[Add penalty]';'[Appeal to Judge]';0.993;0.142;0.141;0.993;0.531;0.528;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Add penalty, Appeal to Judge)';'NotSuccession';'[Add penalty]';'[Appeal to Judge]';0.994;0.143;0.142;0.997;0.531;0.529;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Add penalty, Create Fine)';'NotSuccession';'[Add penalty]';'[Create Fine]';1.000;0.410;0.410;0.531;1.000;0.531;FALSE;FALSE;FALSE;FALSE
'NotResponse(Add penalty, Insert Date Appeal to Prefecture)';'NotResponse';'[Add penalty]';'[Insert Date Appeal to Prefecture]';0.992;0.142;0.141;0.992;0.531;0.527;FALSE;FALSE;FALSE;FALSE
'CoExistence(Add penalty, Insert Fine Notification)';'CoExistence';'[Add penalty]';'[Insert Fine Notification]';1.000;0.284;0.284;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Add penalty, Insert Fine Notification)';'NotSuccession';'[Add penalty]';'[Insert Fine Notification]';1.000;0.284;0.284;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Add penalty, Notify Result Appeal to Offender)';'NotChainSuccession';'[Add penalty]';'[Notify Result Appeal to Offender]';0.999;0.144;0.144;0.999;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Add penalty, Receive Result Appeal from Prefecture)';'NotChainSuccession';'[Add penalty]';'[Receive Result Appeal from Prefecture]';0.991;0.144;0.143;0.996;0.531;0.529;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Add penalty, Send Fine)';'NotSuccession';'[Add penalty]';'[Send Fine]';1.000;0.327;0.327;0.768;0.692;0.531;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Create Fine, Add penalty)';'AlternatePrecedence';'[Add penalty]';'[Create Fine]';1.000;0.142;0.142;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Send Fine, Add penalty)';'AlternatePrecedence';'[Add penalty]';'[Send Fine]';1.000;0.142;0.142;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'Absence(Appeal to Judge)';'Absence';'';'[Appeal to Judge]';0.996;0.268;0.267;0.996;1.000;0.996;FALSE;FALSE;FALSE;FALSE
'AtMost1(Appeal to Judge)';'AtMost1';'';'[Appeal to Judge]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Appeal to Judge, Add penalty)';'NotSuccession';'[Appeal to Judge]';'[Add penalty]';0.993;0.143;0.142;0.003;0.531;0.002;FALSE;FALSE;FALSE;FALSE
