'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost1(Accept Claim)';'AtMost1';'';'[Accept Claim]';0.999;0.110;0.110;0.999;1.000;0.999;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Accept Claim, Block Claim 1)';'NotSuccession';'[Accept Claim]';'[Block Claim 1]';1.000;0.111;0.111;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Accept Claim, Block Claim 2)';'NotCoExistence';'[Accept Claim]';'[Block Claim 2]';1.000;0.110;0.110;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Accept Claim, Block Claim 3)';'NotChainSuccession';'[Accept Claim]';'[Block Claim 3]';1.000;0.111;0.111;0.999;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Accept Claim, Correct Claim)';'NotSuccession';'[Accept Claim]';'[Correct Claim]';0.997;0.113;0.112;0.998;0.964;0.962;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(Accept Claim, Execute Payment)';'AlternateResponse';'[Accept Claim]';'[Execute Payment]';0.999;0.106;0.106;0.999;0.963;0.962;FALSE;FALSE;FALSE;FALSE
'Succession(Accept Claim, Execute Payment)';'Succession';'[Accept Claim]';'[Execute Payment]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Accept Claim, Execute Payment)';'NotChainSuccession';'[Accept Claim]';'[Execute Payment]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'ChainResponse(Accept Claim, Payment Order)';'ChainResponse';'[Accept Claim]';'[Payment Order]';0.999;0.106;0.106;0.999;0.963;0.962;FALSE;FALSE;FALSE;FALSE
'Succession(Accept Claim, Payment Order)';'Succession';'[Accept Claim]';'[Payment Order]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Accept Claim, Receive Claim)';'NotSuccession';'[Accept Claim]';'[Receive Claim]';1.000;0.216;0.216;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Accept Claim, Receive Objection 1)';'NotChainSuccession';'[Accept Claim]';'[Receive Objection 1]';1.000;0.110;0.110;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Accept Claim, Receive Objection 2)';'NotCoExistence';'[Accept Claim]';'[Receive Objection 2]';1.000;0.107;0.107;0.990;0.972;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Accept Claim, Reject Claim)';'NotCoExistence';'[Accept Claim]';'[Reject Claim]';1.000;0.110;0.110;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Accept Claim, Repayment)';'NotChainSuccession';'[Accept Claim]';'[Repayment]';1.000;0.108;0.108;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Accept Claim, Start Claim)';'NotSuccession';'[Accept Claim]';'[Start Claim]';1.000;0.216;0.216;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Accept Claim, Unblock Claim 1)';'NotSuccession';'[Accept Claim]';'[Unblock Claim 1]';1.000;0.111;0.111;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Accept Claim, Unblock Claim 3)';'NotCoExistence';'[Accept Claim]';'[Unblock Claim 3]';0.992;0.106;0.106;0.996;0.963;0.959;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Accept Claim, Withdraw Claim)';'NotChainSuccession';'[Accept Claim]';'[Withdraw Claim]';1.000;0.109;0.109;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Receive Claim, Accept Claim)';'AlternatePrecedence';'[Accept Claim]';'[Receive Claim]';0.999;0.106;0.106;0.999;0.963;0.962;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Start Claim, Accept Claim)';'AlternatePrecedence';'[Accept Claim]';'[Start Claim]';0.999;0.106;0.106;0.999;0.963;0.962;FALSE;FALSE;FALSE;FALSE
'AtMost1(Block Claim 1)';'AtMost1';'';'[Block Claim 1]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(Block Claim 1, Accept Claim)';'AlternateResponse';'[Block Claim 1]';'[Accept Claim]';1.000;0.005;0.005;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Accept Claim)';'NotChainSuccession';'[Block Claim 1]';'[Accept Claim]';1.000;0.111;0.111;0.048;0.963;0.047;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 1, Block Claim 2)';'NotCoExistence';'[Block Claim 1]';'[Block Claim 2]';1.000;0.009;0.009;0.559;0.083;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Block Claim 3)';'NotChainSuccession';'[Block Claim 1]';'[Block Claim 3]';1.000;0.010;0.010;0.545;0.086;0.047;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(Block Claim 1, Execute Payment)';'AlternateResponse';'[Block Claim 1]';'[Execute Payment]';1.000;0.005;0.005;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
